datetime,accuracy,precision,recall,f1,f2,random_state,setup,classifier,options,features_used
2015-05-23 19:19:04.855681,0.7601111111111111,0.1038961038961039,0.152,0.12342671538773853,0.13911770089694306,487,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            random_state=49, splitter='best')","{'min_samples_split': 5, 'random_state': 49}","['poi', 'to_messages']"
2015-05-23 19:19:05.478334,0.7681111111111111,0.08543096872616324,0.112,0.09692773691042839,0.10544153643381662,487,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            random_state=49, splitter='best')","{'min_samples_split': 5, 'random_state': 49}","['poi', 'to_messages', 'from_messages']"
2015-05-23 19:19:06.034196,0.7957777777777778,0.2019914651493599,0.284,0.23607647547797173,0.26267110617832035,487,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            random_state=49, splitter='best')","{'min_samples_split': 5, 'random_state': 49}","['poi', 'to_messages', 'from_messages', 'shared_receipt_with_poi']"
2015-05-23 19:19:06.565561,0.7965555555555556,0.18306636155606407,0.24,0.2077022933794894,0.2259461495010356,487,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            random_state=49, splitter='best')","{'min_samples_split': 5, 'random_state': 49}","['poi', 'to_messages', 'from_messages', 'shared_receipt_with_poi', 'from_this_person_to_poi']"
2015-05-23 19:19:07.108664,0.7975555555555556,0.18090062111801242,0.233,0.20367132867132867,0.22031013615733736,487,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            random_state=49, splitter='best')","{'min_samples_split': 5, 'random_state': 49}","['poi', 'to_messages', 'from_messages', 'shared_receipt_with_poi', 'from_this_person_to_poi', 'from_poi_to_this_person']"
2015-05-23 19:19:07.658348,0.8823333333333333,0.4717703349282297,0.493,0.4821515892420538,0.4886025768087215,487,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            random_state=49, splitter='best')","{'min_samples_split': 5, 'random_state': 49}","['poi', 'to_messages', 'from_messages', 'shared_receipt_with_poi', 'from_this_person_to_poi', 'from_poi_to_this_person', 'messages_partnership']"
2015-05-23 19:19:08.404197,0.8140714285714286,0.340053050397878,0.3205,0.32998712998713,0.32422862923621654,487,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            random_state=49, splitter='best')","{'min_samples_split': 5, 'random_state': 49}","['poi', 'to_messages', 'from_messages', 'shared_receipt_with_poi', 'from_this_person_to_poi', 'from_poi_to_this_person', 'messages_partnership', 'total_payments']"
2015-05-23 19:19:09.224526,0.8277857142857142,0.3887384948565241,0.359,0.3732778788666493,0.36457804407433736,487,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            random_state=49, splitter='best')","{'min_samples_split': 5, 'random_state': 49}","['poi', 'to_messages', 'from_messages', 'shared_receipt_with_poi', 'from_this_person_to_poi', 'from_poi_to_this_person', 'messages_partnership', 'total_payments', 'salary']"
2015-05-23 19:19:10.007895,0.8035714285714286,0.29304635761589404,0.2655,0.27859391395592864,0.27058703628210357,487,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            random_state=49, splitter='best')","{'min_samples_split': 5, 'random_state': 49}","['poi', 'to_messages', 'from_messages', 'shared_receipt_with_poi', 'from_this_person_to_poi', 'from_poi_to_this_person', 'messages_partnership', 'total_payments', 'salary', 'bonus']"
2015-05-23 19:19:10.794281,0.8069285714285714,0.307608100711549,0.281,0.2937026391429318,0.2859468810420271,487,Decision Tree,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=None,
            max_features=None, max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=5, min_weight_fraction_leaf=0.0,
            random_state=49, splitter='best')","{'min_samples_split': 5, 'random_state': 49}","['poi', 'to_messages', 'from_messages', 'shared_receipt_with_poi', 'from_this_person_to_poi', 'from_poi_to_this_person', 'messages_partnership', 'total_payments', 'salary', 'bonus', 'deferral_payments']"
